Date,Close,High,Low,Open,Volume,Ticker,Industry
2024-07-01,108.3176040649414,109.34568948525289,107.34941953656852,108.80669568528825,1742200,JBL,Information Technology
2024-07-02,108.32759094238281,109.57525969941784,107.29951310501247,107.97824521344616,1581100,JBL,Information Technology
2024-07-03,109.89466094970703,109.97451357660036,108.39745846370239,108.65697569352291,1053500,JBL,Information Technology
2024-07-05,108.35753631591797,110.3737733390752,108.11798604119441,109.26584284762559,1682200,JBL,Information Technology
2024-07-08,109.81481170654297,111.05250461602982,107.99820627215549,108.76677450314588,1329000,JBL,Information Technology
2024-07-09,109.8048324584961,111.65138066824692,109.78486549418946,109.94457074798001,1045200,JBL,Information Technology
2024-07-10,113.47796630859375,113.82731202238985,110.73309516207877,111.69130381213324,1125300,JBL,Information Technology
2024-07-11,114.20659637451172,116.0531444640812,113.70752891164618,114.21657985601527,1266700,JBL,Information Technology
2024-07-12,114.71565246582031,115.96332117896324,114.15669931918524,114.22656846251462,818600,JBL,Information Technology
2024-07-15,115.08496856689453,116.42246581185705,114.2066048930295,114.2066048930295,848800,JBL,Information Technology
2024-07-16,117.84980010986328,118.03944819826836,114.98514989495963,115.43431521773498,896400,JBL,Information Technology
2024-07-17,114.7056655883789,116.24279431128913,113.83729306344269,115.75371032246119,1226600,JBL,Information Technology
2024-07-18,112.01070404052734,115.41434022164448,111.20221717702465,114.7855179517163,1146500,JBL,Information Technology
2024-07-19,110.33384704589844,113.55781892584747,109.96453434362027,112.72937263910522,1102100,JBL,Information Technology
2024-07-22,113.08869171142578,113.30827500141582,109.54530962950773,111.41182470816247,1652800,JBL,Information Technology
2024-07-23,111.9607925415039,113.0986657450822,111.79111143214831,112.52972914329305,1597900,JBL,Information Technology
2024-07-24,110.84288787841797,114.72563217688462,110.45361586192548,111.47171014771384,2045200,JBL,Information Technology
2024-07-25,110.1441879272461,114.28644940695025,108.99633123549697,111.60146401023106,2079600,JBL,Information Technology
2024-07-26,110.17414093017578,112.55968302231429,110.09429591598295,112.0306726793532,1210900,JBL,Information Technology
2024-07-29,109.74494171142578,111.7112689068624,109.34569379807415,110.76304368990355,1151100,JBL,Information Technology
2024-07-30,109.14605712890625,110.71312872264023,108.36751307299791,109.74493658613072,1397400,JBL,Information Technology
2024-07-31,112.45986938476562,114.53599202648017,110.67320680883333,111.72125161200468,1382800,JBL,Information Technology
2024-08-01,108.79671478271484,112.44989253069839,106.81042826892819,111.65138148622687,1558300,JBL,Information Technology
2024-08-02,99.43421173095703,106.00193426255267,96.5895208805423,106.00193426255267,3749700,JBL,Information Technology
2024-08-05,97.3680648803711,98.79539812626992,95.67123094050504,95.89082184220719,2333200,JBL,Information Technology
2024-08-06,100.27264404296875,101.75986310309354,97.76732298934523,98.32628378358282,1641500,JBL,Information Technology
2024-08-07,98.25640869140625,103.24708353164158,97.77730055607086,102.14912897465744,1319400,JBL,Information Technology
2024-08-08,101.6999740600586,101.80976951875286,98.77543821927603,99.81349952818907,1069400,JBL,Information Technology
2024-08-09,101.93952178955078,102.10921052205131,100.53215544111681,101.42049495559493,678500,JBL,Information Technology
2024-08-12,101.82971954345703,103.1472573119758,101.29073339670546,102.4884922352989,789900,JBL,Information Technology
2024-08-13,103.84596252441406,104.55463743473418,101.9495045705839,102.63822013230525,867500,JBL,Information Technology
2024-08-14,103.07740020751953,105.14353939517065,102.45856136856878,104.7442914791376,1080700,JBL,Information Technology
2024-08-15,106.9631576538086,108.09192187027188,104.36599626109724,104.9953060704595,1403600,JBL,Information Technology
2024-08-16,106.23394775390625,106.76336819055213,104.95534572855712,106.49366617188943,795000,JBL,Information Technology
2024-08-19,107.34274291992188,107.43264867838433,105.66457576562928,106.51364675452984,717000,JBL,Information Technology
2024-08-20,106.75338745117188,107.99203224379444,106.50366024824405,107.17292732303396,728000,JBL,Information Technology
2024-08-21,108.49149322509766,108.92102434500929,106.90322415525884,107.44263586080392,708900,JBL,Information Technology
2024-08-22,107.02308654785156,109.15075951497744,106.88323992772513,108.61135547795786,821300,JBL,Information Technology
2024-08-23,108.3916015625,109.41048523731128,107.25284608197634,108.37161911767974,1442400,JBL,Information Technology
2024-08-26,108.58138275146484,109.68018852062829,107.99203022170379,108.88105843779474,1102200,JBL,Information Technology
2024-08-27,107.48258972167969,108.0020265865778,106.59356146325331,107.74230815412874,1075500,JBL,Information Technology
2024-08-28,107.22286987304688,108.3416505032995,106.97314266620143,107.1829202264928,1128400,JBL,Information Technology
2024-08-29,107.52253723144531,109.66020134658346,107.12297220726448,107.91211103422766,1251400,JBL,Information Technology
2024-08-30,109.16075134277344,109.37052127412773,107.35272887176559,108.77117752439129,2024100,JBL,Information Technology
2024-09-03,103.29716491699219,107.48258769786676,103.00748044415155,106.6335167235791,1990200,JBL,Information Technology
2024-09-04,103.48695373535156,104.34601594275166,101.93864961443805,102.58793426004102,1254000,JBL,Information Technology
2024-09-05,102.4780502319336,104.34601243330575,101.97859583145573,103.20725700990178,1088600,JBL,Information Technology
2024-09-06,100.92974853515625,103.12734490047924,100.06069511431522,102.09847003068522,1278400,JBL,Information Technology
2024-09-09,102.56795501708984,104.71561044305021,101.409217160825,101.88869673402027,2102900,JBL,Information Technology
2024-09-10,101.52909088134766,102.81768416131709,100.67002869470137,102.81768416131709,1521500,JBL,Information Technology
2024-09-11,103.32713317871094,103.50693707532862,99.56124257207124,101.16948641929885,1566600,JBL,Information Technology
2024-09-12,103.68673706054688,104.79552644435046,102.45807587649689,103.3471041037168,1173500,JBL,Information Technology
2024-09-13,105.7844467163086,106.76337310278964,104.34601556107326,104.61572521321467,2468500,JBL,Information Technology
2024-09-16,105.6046371459961,105.85436434029856,103.70670894508355,103.95643613938601,1329700,JBL,Information Technology
2024-09-17,106.71342468261719,107.61244409102274,105.93427706902204,105.95425189095593,1335800,JBL,Information Technology
2024-09-18,107.73230743408203,110.24956175820802,106.99311709112331,107.39268211634145,1360400,JBL,Information Technology
2024-09-19,110.7390365600586,111.56813274089966,109.44045199678777,111.10863558094516,1828700,JBL,Information Technology
